BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:30,16:30,13:15,0,336,80.3,100
2,0:15,17:00,16:45,12:45,0,328,76.12,100
3,1:00,17:45,16:45,13:30,0,336,80.6,100
4,1:15,18:45,17:30,13:00,0,330,74.29,100
5,2:00,18:45,16:45,13:30,0,340,80.6,100
6,2:15,19:15,17:00,13:00,0,324,76.47,100
7,3:00,19:15,16:15,13:15,0,338,81.54,100
8,3:15,19:45,16:30,13:15,0,332,80.3,100
9,4:45,21:15,16:30,13:30,0,332,81.82,100
10,5:00,23:30,18:30,14:00,0,336,75.68,100
11,6:00,26:00,20:00,10:15,0,254,51.25,100
12,6:45,26:30,19:45,10:00,0,248,50.63,100
13,7:00,25:00,18:00,13:15,0,336,73.61,100
14,7:15,21:45,14:30,7:00,0,166,48.28,100
15,7:30,22:30,15:00,10:00,0,246,66.67,100
16,7:45,22:00,14:15,6:30,0,164,45.61,100
17,8:15,23:00,14:45,6:45,0,166,45.76,100
18,8:45,23:00,14:15,6:30,0,164,45.61,100
19,9:00,27:00,18:00,10:30,0,250,58.33,100
20,9:15,23:30,14:15,6:45,0,166,47.37,100
21,10:45,22:00,11:15,7:15,0,164,64.44,100
22,12:15,24:00,11:45,7:00,0,166,59.57,100
23,17:15,24:30,7:15,7:00,0,162,96.55,100
24,18:45,24:30,5:45,5:15,0,122,91.3,100
25,19:45,24:00,4:15,3:15,0,80,76.47,100
26,20:45,24:30,3:45,3:30,0,82,93.33,100
27,21:00,25:30,4:30,3:15,0,84,72.22,100
28,21:45,23:30,1:45,1:45,0,40,100.0,100
29,22:00,23:45,1:45,1:45,0,44,100.0,100
30,22:15,24:00,1:45,1:45,0,40,100.0,100
